country,year,patents,berd_biotech,reg_quality,eu,log_patents,log_berd,eu_x_logpatents
KOR,2014,640.5,1434.3635359011862,0.9937598,0,6.4622491213367885,7.268476500816926,0.0
KOR,2015,657.0,1526.25,0.996129,0,6.48768401848461,7.330569025424914,0.0
KOR,2016,781.0333251953125,1636.77,0.9758957,0,6.660617818833721,7.400480066583646,0.0
KOR,2017,761.5333251953125,1717.648,0.9593042,0,6.635333933945375,7.448711192145212,0.0
KOR,2018,843.3499755859375,1960.698,0.9569194,0,6.737382026755114,7.581055811276994,0.0
KOR,2019,852.75,2127.703,0.9120155,0,6.7484664212987555,7.662798273051888,0.0
KOR,2020,803.6666870117188,2483.500131,0.9083199,0,6.689184614828347,7.817424187295542,0.0
USA,2007,3378.6806640625,32418.0,1.5170645,0,8.125240576199925,10.386469103072121,0.0
USA,2009,3193.690185546875,22030.0,1.3091242,0,8.068932325180741,10.000160439796389,0.0
USA,2010,3194.3134765625,27374.0,1.3517357,0,8.069127469407505,10.217348936771211,0.0
USA,2011,3300.31591796875,26138.0,1.3974735,0,8.10177347559029,10.171145473156981,0.0
USA,2012,3397.052978515625,26893.0,1.4422743,0,8.130663563716224,10.199621308677711,0.0
USA,2014,3732.621826171875,38565.3,1.2856555,0,8.224866168176575,10.560108187412133,0.0
USA,2015,4049.890625,39795.2,1.2919442,0,8.306445153563072,10.591501580984325,0.0
USA,2016,4274.142578125,44793.0,1.4076516,0,8.360338794734238,10.709807156194774,0.0
USA,2017,4473.0185546875,51637.0,1.509025,0,8.40581875157705,10.85199374877264,0.0
USA,2018,4859.46142578125,62862.0,1.484217,0,8.488682893013316,11.04869712658102,0.0
USA,2019,5242.138671875,77792.0,1.3675576,0,8.564484837534787,11.26179387711585,0.0
USA,2020,4185.7529296875,88423.0,1.2778639,0,8.339441878255776,11.389887395780004,0.0
